taskCreator,contributionID,contribution,description,payeeID,ADA,GMBL,AGIX,DJED,AUSD,IUSD
Lead Generators,1,Coordination meetings,Final payment for coordination meetings,jhyhwp,1197.25,0,0,0,0,0
Lead Generators,1,Coordination meetings,Final payment for coordination meetings,7478kg,718.35,0,0,0,0,0
Lead Generators,1,Coordination meetings,Final payment for coordination meetings,kv4459,1197.25,0,0,0,0,0
Lead Generators,2,Support meetings,First half of Support meeting budget,jhyhwp,1174.02,0,0,0,0,0
Lead Generators,2,Support meetings,First half of Support meeting budget,7478kg,2515.77,0,0,0,0,0
Lead Generators,2,Support meetings,First half of Support meeting budget,kv4459,1174.02,0,0,0,0,0
Lead Generators,3,General admin,Final Payment for CrossChain General Admin,jhyhwp,1133.75,0,0,0,0,0
Lead Generators,3,General admin,Final Payment for CrossChain General Admin,7478kg,1133.75,0,0,0,0,0
Lead Generators,3,General admin,Final Payment for CrossChain General Admin,kv4459,1133.75,0,0,0,0,0
Lead Generators,4,New Lead,Generated 1x new lead,jhyhwp,200,0,0,0,0,0
Lead Generators,5,New Lead,Generated 3x new leads,jy60mc,600,0,0,0,0,0
