taskCreator,contributionID,contribution,description,payeeID,ADA,GMBL,AGIX,DJED,COPI,NTX
singularitynet,1,Operations,"singularitynet contribution handling fee",3ynval,,212,17,,,
singularitynet,2,Content Creation,"Create an Account on deepfunding.ai - Earn 10 Ada 10AGIX & 10 Gimbal",89fnj0,10,10,10,,,
singularitynet,2,Content Creation,"Create an Account on deepfunding.ai - Earn 10 Ada 10AGIX & 10 Gimbal",32a6x7,10,10,10,,,
singularitynet,3,Content Creation,"Create a My first Bounty Task -100 AGIX & 100 Gimbal",pfwaf6,,100,98,,,
singularitynet,4,Content Creation,"[added to forum] Translate into Chinese - AI-DSL2022 Blogpost",rvata9,,200,114,,,
singularitynet,5,Content Creation,"[added to forum] Translate into Russian - AI-DSL2022 Blogpost",nggwcw,,200,114,,,
singularitynet,6,Content Creation,"[added to forum] Translate into French - Progress toAGI in 2022 Blogpost",93ah9r,,200,114,,,
singularitynet,7,Content Creation,"[added to forum] Translate into Portuguese - Loyaltyrewards community governance Blogpost",h3fp0w,,200,43,,,
singularitynet,8,Community Communication,"Participate in the Treasury Guild March 9",5djnmp,,150,2,,,
singularitynet,8,Community Communication,"Participate in the Treasury Guild March 9",fup7a9,,150,2,,,
singularitynet,8,Community Communication,"Participate in the Treasury Guild March 9",jwrar0,,150,2,,,
singularitynet,8,Community Communication,"Participate in the Treasury Guild March 9",f39ntm,,150,2,,,
singularitynet,8,Community Communication,"Participate in the Treasury Guild March 9",jnaxjp,,150,2,,,
singularitynet,8,Community Communication,"Participate in the Treasury Guild March 9",4mg27n,,150,2,,,
singularitynet,8,Community Communication,"Participate in the Treasury Guild March 9",9klqvn,,150,2,,,
singularitynet,8,Community Communication,"Participate in the Treasury Guild March 9",rcgctj,,150,2,,,
singularitynet,8,Community Communication,"Participate in the Treasury Guild March 9",pfwaf6,,150,2,,,
singularitynet,8,Community Communication,"Participate in the Treasury Guild March 9",fu9paa,,150,2,,,
singularitynet,9,Community Communication,"Process Guild - March 7",0cnk5v,,100,2,,,
singularitynet,9,Community Communication,"Process Guild - March 7",xl6z2n,,100,2,,,
singularitynet,9,Community Communication,"Process Guild - March 7",u7ywg4,,100,2,,,
singularitynet,9,Community Communication,"Process Guild - March 7",rcgctj,,100,2,,,
singularitynet,9,Community Communication,"Process Guild - March 7",f39ntm,,100,2,,,
singularitynet,9,Community Communication,"Process Guild - March 7",9klqvn,,100,2,,,
singularitynet,9,Community Communication,"Process Guild - March 7",pfwaf6,,100,2,,,
singularitynet,10,Community Communication,"Join Ambassador Town Hall #38 - Earn 100 GMBL & 2 AGIX",9qgazv,,100,2,,,
singularitynet,10,Community Communication,"Join Ambassador Town Hall #38 - Earn 100 GMBL & 2 AGIX",9klqvn,,100,2,,,
singularitynet,10,Community Communication,"Join Ambassador Town Hall #38 - Earn 100 GMBL & 2 AGIX",pfwaf6,,100,2,,,
singularitynet,10,Community Communication,"Join Ambassador Town Hall #38 - Earn 100 GMBL & 2 AGIX",rcgctj,,100,2,,,
singularitynet,10,Community Communication,"Join Ambassador Town Hall #38 - Earn 100 GMBL & 2 AGIX",9p4mch,,100,2,,,
singularitynet,10,Community Communication,"Join Ambassador Town Hall #38 - Earn 100 GMBL & 2 AGIX",t65ffu,,100,2,,,
singularitynet,10,Community Communication,"Join Ambassador Town Hall #38 - Earn 100 GMBL & 2 AGIX",0cnk5v,,100,2,,,
singularitynet,10,Community Communication,"Join Ambassador Town Hall #38 - Earn 100 GMBL & 2 AGIX",u7ywg4,,100,2,,,
singularitynet,10,Community Communication,"Join Ambassador Town Hall #38 - Earn 100 GMBL & 2 AGIX",xl6z2n,,100,2,,,
singularitynet,10,Community Communication,"Join Ambassador Town Hall #38 - Earn 100 GMBL & 2 AGIX",fu9paa,,100,2,,,
singularitynet,10,Community Communication,"Join Ambassador Town Hall #38 - Earn 100 GMBL & 2 AGIX",lrs3kj,,100,2,,,
singularitynet,10,Community Communication,"Join Ambassador Town Hall #38 - Earn 100 GMBL & 2 AGIX",tgd8fg,,100,2,,,
singularitynet,10,Community Communication,"Join Ambassador Town Hall #38 - Earn 100 GMBL & 2 AGIX",a3amjj,,100,2,,,
singularitynet,10,Community Communication,"Join Ambassador Town Hall #38 - Earn 100 GMBL & 2 AGIX",jwrar0,,100,2,,,
singularitynet,10,Community Communication,"Join Ambassador Town Hall #38 - Earn 100 GMBL & 2 AGIX",q5xpal,,100,2,,,
singularitynet,10,Community Communication,"Join Ambassador Town Hall #38 - Earn 100 GMBL & 2 AGIX",nggwcw,,100,2,,,
singularitynet,11,Community Communication,"Organise & Host a Treasury Workshop",rcgctj,,200,2,,,
singularitynet,11,Community Communication,"Organise & Host a Treasury Workshop",u7ywg4,,200,2,,,
singularitynet,12,Operations,"DF Round 2 - Rules check on proposals",nggwcw,,800,2,,,
singularitynet,12,Operations,"DF Round 2 - Rules check on proposals",fup7a9,,800,2,,,
singularitynet,12,Operations,"DF Round 2 - Rules check on proposals",93ah9r,,800,2,,,
singularitynet,12,Operations,"DF Round 2 - Rules check on proposals",lrs3kj,,800,2,,,
singularitynet,12,Operations,"DF Round 2 - Rules check on proposals",t65ffu,,800,2,,,
singularitynet,12,Operations,"DF Round 2 - Rules check on proposals",9p4mch,,800,2,,,
singularitynet,12,Operations,"DF Round 2 - Rules check on proposals",9klqvn,,800,2,,,
singularitynet,12,Operations,"DF Round 2 - Rules check on proposals",f39ntm,,800,2,,,
singularitynet,13,Community Communication,"Strategy Workshop Meeting 15.3.23",9p4mch,,200,2,,,
singularitynet,13,Community Communication,"Strategy Workshop Meeting 15.3.23",t65ffu,,200,2,,,
singularitynet,13,Community Communication,"Strategy Workshop Meeting 15.3.23",fup7a9,,200,2,,,
singularitynet,13,Community Communication,"Strategy Workshop Meeting 15.3.23",jwrar0,,200,2,,,
singularitynet,13,Community Communication,"Strategy Workshop Meeting 15.3.23",lrs3kj,,200,2,,,
singularitynet,13,Community Communication,"Strategy Workshop Meeting 15.3.23",xl6z2n,,200,2,,,
singularitynet,13,Community Communication,"Strategy Workshop Meeting 15.3.23",9klqvn,,200,2,,,
singularitynet,13,Community Communication,"Strategy Workshop Meeting 15.3.23",u7ywg4,,200,2,,,
singularitynet,13,Community Communication,"Strategy Workshop Meeting 15.3.23",a3amjj,,200,2,,,
singularitynet,13,Community Communication,"Strategy Workshop Meeting 15.3.23",rcgctj,,200,2,,,
singularitynet,13,Community Communication,"Strategy Workshop Meeting 15.3.23",j3xc2c,,200,2,,,
singularitynet,14,Community Communication,"Strategy Workshop Meeting 8.3.23",nggwcw,,100,2,,,
singularitynet,14,Community Communication,"Strategy Workshop Meeting 8.3.23",f39ntm,,100,2,,,
singularitynet,14,Community Communication,"Strategy Workshop Meeting 8.3.23",9klqvn,,100,2,,,
singularitynet,14,Community Communication,"Strategy Workshop Meeting 8.3.23",a3amjj,,100,2,,,
singularitynet,14,Community Communication,"Strategy Workshop Meeting 8.3.23",lrs3kj,,100,2,,,
singularitynet,14,Community Communication,"Strategy Workshop Meeting 8.3.23",fup7a9,,100,2,,,
singularitynet,15,Content Creation,"SNET Marketing Guild Guide  120AGIX",f39ntm,,200,120,,,
singularitynet,15,Content Creation,"SNET Marketing Guild Guide  120AGIX",fup7a9,,200,120,,,
singularitynet,15,Content Creation,"SNET Marketing Guild Guide  120AGIX",5djnmp,,200,120,,,
singularitynet,16,Community Communication,"SNet Conference / Event Ambassador - 200 AGIX",5djnmp,,400,200,,,
singularitynet,17,Community Communication,"Process Guild - March 14",rcgctj,,100,2,,,
singularitynet,17,Community Communication,"Process Guild - March 14",jwrar0,,100,2,,,
singularitynet,17,Community Communication,"Process Guild - March 14",f39ntm,,100,2,,,
singularitynet,17,Community Communication,"Process Guild - March 14",0cnk5v,,100,2,,,
singularitynet,17,Community Communication,"Process Guild - March 14",lrs3kj,,100,2,,,
singularitynet,17,Community Communication,"Process Guild - March 14",xl6z2n,,100,2,,,
singularitynet,17,Community Communication,"Process Guild - March 14",9klqvn,,100,2,,,
singularitynet,17,Community Communication,"Process Guild - March 14",pfwaf6,,100,2,,,
singularitynet,17,Community Communication,"Process Guild - March 14",j3xc2c,,100,2,,,
