taskCreator,contributionID,contribution,description,payeeID,ADA,GMBL,AGIX,DJED,COPI,NTX
Lead Generators,1,Translation,Translation,x3qe9j,134.68,0,0,0,0,0
Lead Generators,1,Translation,Translation,7gfjvs,134.68,0,0,0,0,0
Lead Generators,2,Report,Completed Impact Lead Generation Community Collaboration Questions,zdlgea,250,0,0,0,0,0
Lead Generators,2,Report,Completed Impact Lead Generation Community Collaboration Questions,cdqvq7,250,0,0,0,0,0
Lead Generators,3,Report,Completed Impact Lead Generation Community Collaboration Questions and submitted video,t7g6t6,350,0,0,0,0,0
Lead Generators,3,Report,Completed Impact Lead Generation Community Collaboration Questions and submitted video,e7kjkm,350,0,0,0,0,0
Lead Generators,3,Report,Completed Impact Lead Generation Community Collaboration Questions and submitted video,jy60mc,350,0,0,0,0,0
Lead Generators,2,Report,Completed Impact Lead Generation Community Collaboration Questions,mlss3y,250,0,0,0,0,0
Lead Generators,2,Report,Completed Impact Lead Generation Community Collaboration Questions,3jf7cz,250,0,0,0,0,0
Lead Generators,3,Report,Completed Impact Lead Generation Community Collaboration Questions and submitted video,7gfjvs,350,0,0,0,0,0
Lead Generators,3,Report,Completed Impact Lead Generation Community Collaboration Questions and submitted video,ul20uj,350,0,0,0,0,0
Lead Generators,4,Proposal,10 hours of work on proposal,t7g6t6,1346.77,0,0,0,0,0
