taskCreator,contributionID,contribution,description,payeeID,ADA,GMBL,AGIX,DJED,COPI,NTX,GovWG
catalyst swarm,1,swarm tools,Tools - Zoom,u7ywg4,313.61,0,0,0,0,0,0
catalyst swarm,2,swarm tools,Tools -  Miro ,rcgctj,80,0,0,0,0,0,0
catalyst swarm,3,swarm tools,Tools -  Adobe Illustrator ,u7ywg4,26.3,0,0,0,0,0,0
catalyst swarm,4,swarm tools,Tools -  Adobe  InDesign,u7ywg4,26.3,0,0,0,0,0,0
catalyst swarm,5,swarm tools,Tools -  Swarm Gitbook,jnaxjp,136,0,0,0,0,0,0
catalyst swarm,6,swarm tools,Tools -  Microsoft Excel,rcgctj,31,0,0,0,0,0,0
catalyst swarm,7,swarm contributor,Monthly rewards,u7ywg4,2000,1000,2,0,0,0,0
catalyst swarm,8,swarm contributor,Monthly rewards,rcgctj,2000,1000,2,0,0,0,0
catalyst swarm,9,swarm contributor,Monthly rewards,jnaxjp,2000,1000,2,0,0,0,0
catalyst swarm,10,swarm contributor,Monthly rewards,4mg27n,2000,1000,2,0,0,0,0
