taskCreator,contributionID,contribution,description,payeeID,ADA,GMBL,AGIX,DJED,COPI,NTX,GovWG
catalyst swarm,1,swarm tools,Tools - Zoom,u7ywg4,825.289473,0,0,0,0,0,0
catalyst swarm,2,swarm tools,Tools -  Miro ,rcgctj,210.526315,0,0,0,0,0,0
catalyst swarm,3,swarm tools,Tools -  Adobe Illustrator ,u7ywg4,69.210526,0,0,0,0,0,0
catalyst swarm,4,swarm tools,Tools -  Adobe  InDesign,u7ywg4,69.210526,0,0,0,0,0,0
catalyst swarm,5,swarm tools,Tools -  Swarm Gitbook,jnaxjp,357.894736,0,0,0,0,0,0
catalyst swarm,6,swarm tools,Tools -  Microsoft Excel,rcgctj,81.578947,0,0,0,0,0,0
catalyst swarm,7,swarm contributor,Monthly rewards,u7ywg4,5263.157895,1000,2,0,0,0,0
catalyst swarm,8,swarm contributor,Monthly rewards,rcgctj,5263.157895,1000,2,0,0,0,0
catalyst swarm,9,swarm contributor,Monthly rewards,jnaxjp,5263.157895,1000,2,0,0,0,0
catalyst swarm,10,swarm contributor,Monthly rewards,4mg27n,5263.157895,1000,2,0,0,0,0
