taskCreator,contributionID,contribution,description,payeeID,ADA,GMBL,AGIX,DJED,COPI,NTX,GovWG
singularity net,1,Governance Workgroup,Monthly GovWG rewards,vpyqlf,0,0,0,0,0,0,300
singularity net,1,Governance Workgroup,Monthly GovWG rewards,70ygy0,0,0,0,0,0,0,150
singularity net,1,Governance Workgroup,Monthly GovWG rewards,7zxn7j,0,0,0,0,0,0,120
singularity net,1,Governance Workgroup,Monthly GovWG rewards,6qmkll,0,0,0,0,0,0,150
singularity net,1,Governance Workgroup,Monthly GovWG rewards,7lnpzs,0,0,0,0,0,0,750
singularity net,1,Governance Workgroup,Monthly GovWG rewards,j3xc2c,0,0,0,0,0,0,300
singularity net,1,Governance Workgroup,Monthly GovWG rewards,0cnk5v,0,0,0,0,0,0,150
singularity net,1,Governance Workgroup,Monthly GovWG rewards,u7ywg4,0,0,0,0,0,0,2290
singularity net,1,Governance Workgroup,Monthly GovWG rewards,pfwaf6,0,0,0,0,0,0,500
singularity net,1,Governance Workgroup,Monthly GovWG rewards,lrs3kj,0,0,0,0,0,0,500
singularity net,1,Governance Workgroup,Monthly GovWG rewards,jwrar0,0,0,0,0,0,0,450
singularity net,1,Governance Workgroup,Monthly GovWG rewards,9y86pv,0,0,0,0,0,0,300
singularity net,1,Governance Workgroup,Monthly GovWG rewards,7g6qxt,0,0,0,0,0,0,150
singularity net,1,Governance Workgroup,Monthly GovWG rewards,r5nvwm,0,0,0,0,0,0,150
singularity net,1,Governance Workgroup,Monthly GovWG rewards,6lcdjr,0,0,0,0,0,0,200
singularity net,1,Governance Workgroup,Monthly GovWG rewards,ul20uj,0,0,0,0,0,0,150
singularity net,1,Governance Workgroup,Monthly GovWG rewards,4mg27n,0,0,0,0,0,0,170
singularity net,1,Governance Workgroup,Monthly GovWG rewards,xl6z2n,0,0,0,0,0,0,450
singularity net,1,Governance Workgroup,Monthly GovWG rewards,r83kme,0,0,0,0,0,0,150
singularity net,1,Governance Workgroup,Monthly GovWG rewards,q0av5m,0,0,0,0,0,0,400
singularity net,1,Governance Workgroup,Monthly GovWG rewards,p8q4jl,0,0,0,0,0,0,150
singularity net,1,Governance Workgroup,Monthly GovWG rewards,tgd8fg,0,0,0,0,0,0,150
singularity net,1,Governance Workgroup,Monthly GovWG rewards,289935,0,0,0,0,0,0,250
singularity net,1,Governance Workgroup,Monthly GovWG rewards,mg3a4k,0,0,0,0,0,0,950
singularity net,1,Governance Workgroup,Monthly GovWG rewards,rcgctj,0,0,0,0,0,0,650
singularity net,1,Governance Workgroup,Monthly GovWG rewards,lq9wke,0,0,0,0,0,0,150
