taskCreator,contributionID,contribution,description,payeeID,ADA,GMBL,AGIX,DJED,COPI,NTX,GovWG
singularitynet,1,Operations,"singularitynet contribution handling fee",7xcueh,,290,174,,,,
singularitynet,2,Operations - Coordination,"Incubation Workgroup - 3/5/23",jwrar0,,200,,,,,
singularitynet,2,Operations - Coordination,"Incubation Workgroup - 3/5/23",0cnk5v,,200,,,,,
singularitynet,3,Community Communication - Operations - Coordination,"Participate in Process Guild 02.05.23",0cnk5v,,100,,,,,
singularitynet,4,Community Communication - Operations - Coordination,"Participate in Process Guild 25.04.23",q5xpal,,150,,,,,
singularitynet,5,Community Communication - Operations - Coordination,"Participate in Process Guild 18.04.23",q5xpal,,200,,,,,
singularitynet,6,Community Communication - Operations - Coordination,"4/12/2023 STRATEGY GUILD WEEKLY MEETING- TASK POINTS- Agix",lchsml,,300,,,,,
singularitynet,6,Community Communication - Operations - Coordination,"4/12/2023 STRATEGY GUILD WEEKLY MEETING- TASK POINTS- Agix",jwrar0,,300,,,,,
singularitynet,7,Operations - Community Communication,"Join SC Governance Workshop - 11.5.2023",9y86pv,,150,,,,,
singularitynet,7,Operations - Community Communication,"Join SC Governance Workshop - 11.5.2023",ul20uj,,150,,,,,
singularitynet,7,Operations - Community Communication,"Join SC Governance Workshop - 11.5.2023",r83kme,,150,,,,,
singularitynet,7,Operations - Community Communication,"Join SC Governance Workshop - 11.5.2023",0cnk5v,,150,,,,,
singularitynet,7,Operations - Community Communication,"Join SC Governance Workshop - 11.5.2023",7lnpzs,,150,,,,,
singularitynet,7,Operations - Community Communication,"Join SC Governance Workshop - 11.5.2023",jwrar0,,150,,,,,
singularitynet,8,Operations - Community Communication,"Host SC Governance Workshop - 11.5.2023",9y86pv,,150,,,,,
singularitynet,8,Operations - Community Communication,"Host SC Governance Workshop - 11.5.2023",jwrar0,,150,,,,,
singularitynet,9,Operations - Coordination,"Incubation Workgroup - 10.5.23",jwrar0,,100,,,,,
singularitynet,10,Community Communication - Operations - Coordination,"Participate in Process Guild 09.05.23",0cnk5v,,200,,,,,
singularitynet,11,Operations - Community Communication,"Join Governance WG Call #1 - 16.5.2023",jwrar0,,150,,,,,
singularitynet,11,Operations - Community Communication,"Join Governance WG Call #1 - 16.5.2023",r5nvwm,,150,,,,,
singularitynet,12,Operations - Coordination,"Incubation Workgroup - 17.5.23",a3amjj,,100,,,,,
singularitynet,12,Operations - Coordination,"Incubation Workgroup - 17.5.23",jwrar0,,100,,,,,
singularitynet,13,Onboarding,"Open Call: Incubation to develop Stake Pool",a3amjj,,10,,,,,
singularitynet,13,Onboarding,"Open Call: Incubation to develop Stake Pool",j5wkd0,,10,,,,,
singularitynet,14,Community Communication - Operations - Coordination,"Participate in Process Guild 16.05.23",a3amjj,,100,,,,,
singularitynet,14,Community Communication - Operations - Coordination,"Participate in Process Guild 16.05.23",jwrar0,,100,,,,,
singularitynet,15,Operations - Community Communication - Content Creation,"Draft a GovWG Agenda Template - 30.5.2023",7lnpzs,,50,,,,,
singularitynet,16,Operations - Community Communication - Content Creation,"Create Gov Doc follow up tasks - 24.5.2023",7lnpzs,,50,,,,,
singularitynet,17,Operations -  Coordination,"DeepFunding Rewards Algorithm - Advisor Sprint Team -22.5.2023",7lnpzs,,400,,,,,
singularitynet,18,Operations - Community Communication,"Join Governance WG Call #2 - 23.5.2023",7lnpzs,,100,,,,,
singularitynet,19,Onboarding - Community Communication - Operations - Coordination,"Onboarding Workgroup Meeting- 02.05.2023",a3amjj,,100,,,,,
singularitynet,19,Onboarding - Community Communication - Operations - Coordination,"Onboarding Workgroup Meeting- 02.05.2023",9klqvn,,100,,,,,
singularitynet,20,Operations - Coordination,"Incubation Workgroup - 24.5.23",7lnpzs,,100,,,,,
